case,trial,winner,reason
incident,1,r7k3,"Both identify retries and absent idempotency, but r7k3 avoids m2v9's arbitrary three-pass release ritual."
incident,2,c8q1,"c8q1 is equally complete on containment and idempotency while avoiding h4x6's unsupported three-run gate."
incident,3,p5n0,"p5n0 delivers the same safe repair and verification coverage without t9b2's arbitrary three-run requirement."
research,1,z3d7,"z3d7 preserves the same evidence distinctions while complying with the 220-word limit that f6w1 slightly exceeds."
research,2,q2j9,"Both are strong, but q2j9 more explicitly measures AI-attributable incidents and absolute defect rates."
research,3,v1c8,"v1c8 offers the narrower evidence-aligned public alternative, whereas a5r6 broadens into a less grounded code-quality claim."
polish,1,g7y2,"g7y2 meets the form and API requirements without n4u9's invented two-character and character-class restrictions."
polish,2,s1e5,"s1e5 additionally enforces the documented 204 success contract and type-checks the server message."
polish,3,d2k7,"d2k7 enforces the documented 204 response and prevents mid-save edits from making the success state ambiguous."
quick,1,tie,"The two outputs are identical and fully satisfy the one-sentence, 18-word constraint."
quick,2,tie,"The two outputs are identical and fully satisfy the one-sentence, 18-word constraint."
quick,3,tie,"The two outputs are identical and fully satisfy the one-sentence, 18-word constraint."
